sample_id,condition,filter_nm,camera_raw_value_mean,camera_raw_value_median,camera_white_normalized_mean,camera_white_normalized_median,spectrometer_10nm_mean_at_filter,spectrometer_file,comparison_status,camera_white_norm_shape_0_1,spectrometer_shape_0_1,absolute_shape_difference
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,532,0.374103,0.376471,0.634897,0.680852,376.394783,532.txt,ok,0.066168,0.183579,0.117411
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,556,0.370481,0.372549,0.721057,0.719697,402.90087,556.txt,ok,0.136357,0.306347,0.169991
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,680,0.334122,0.329412,0.553672,0.545455,336.759583,680.txt,ok,0.0,0.0,0.0
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,725,0.722529,0.72549,1.302307,1.258502,552.6624,725.txt,ok,0.60986,1.0,0.39014
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,850,0.862049,0.870588,1.781225,1.734374,454.127308,850 1 nes.txt,ok,1.0,0.543614,0.456386
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,940,0.557726,0.564706,1.086249,1.142857,494.576538,940 1 nes.txt,ok,0.433853,0.730963,0.29711
in cutie\Set frunze 1\frunza verde,healthy,532,0.193467,0.196078,0.328336,0.354609,399.046087,532.txt,ok,0.0,0.292655,0.292655
in cutie\Set frunze 1\frunza verde,healthy,556,0.199073,0.2,0.38745,0.386364,450.101304,556.txt,ok,0.044232,0.5045,0.460269
in cutie\Set frunze 1\frunza verde,healthy,680,0.275551,0.270588,0.456614,0.448051,328.515417,680.txt,ok,0.095983,0.0,0.095983
in cutie\Set frunze 1\frunza verde,healthy,725,0.685379,0.682353,1.235347,1.183673,569.518,725.txt,ok,0.678666,1.0,0.321334
in cutie\Set frunze 1\frunza verde,healthy,850,0.805702,0.803922,1.664797,1.601563,465.458462,850.txt,ok,1.0,0.568222,0.431778
in cutie\Set frunze 1\frunza verde,healthy,940,0.517437,0.513726,1.007781,1.039683,541.936154,940 1 verde.txt,ok,0.508391,0.885554,0.377163
in cutie\Set frunze 2\nesanatoasa,unhealthy,532,0.179934,0.207843,0.305369,0.375886,421.566522,532.txt,ok,0.0,0.0,0.0
in cutie\Set frunze 2\nesanatoasa,unhealthy,556,0.176179,0.196078,0.342892,0.378787,479.745217,556.txt,ok,0.0404,0.510483,0.470084
in cutie\Set frunze 2\nesanatoasa,unhealthy,680,0.522524,0.54902,0.865871,0.909091,533.258333,680.txt,ok,0.603472,0.980029,0.376557
in cutie\Set frunze 2\nesanatoasa,unhealthy,725,0.404367,0.372549,0.728843,0.646258,535.5344,725.txt,ok,0.455939,1.0,0.544061
in cutie\Set frunze 2\nesanatoasa,unhealthy,850,0.597291,0.611765,1.234164,1.21875,454.127308,850.txt,ok,1.0,0.285701,0.714299
in cutie\Set frunze 2\nesanatoasa,unhealthy,940,0.340501,0.360784,0.663173,0.730158,495.000769,940 2 nes.txt,ok,0.385235,0.644342,0.259107
in cutie\Set frunze 2\sanatoasa,healthy,532,0.326366,0.305882,0.553882,0.553191,359.914783,532.txt,ok,0.147345,0.103992,0.043353
in cutie\Set frunze 2\sanatoasa,healthy,556,0.32789,0.309804,0.638163,0.598485,378.484348,556.txt,ok,0.2024,0.19526,0.00714
in cutie\Set frunze 2\sanatoasa,healthy,680,0.198127,0.156863,0.328315,0.25974,338.75625,680.txt,ok,0.0,0.0,0.0
in cutie\Set frunze 2\sanatoasa,healthy,725,0.679433,0.67451,1.224629,1.170068,503.838,725.txt,ok,0.585492,0.811362,0.22587
in cutie\Set frunze 2\sanatoasa,healthy,850,0.89978,0.898039,1.859188,1.789061,433.89,850.txt,ok,1.0,0.467574,0.532426
in cutie\Set frunze 2\sanatoasa,healthy,940,0.50852,0.533333,0.990414,1.079364,542.218846,940 2 verde.txt,ok,0.432498,1.0,0.567502
in cutie\frunza sanatoasa dar galbena,healthy_yellow,532,0.253627,0.254902,0.430435,0.460993,405.141304,532.txt,ok,0.0,0.317844,0.317844
in cutie\frunza sanatoasa dar galbena,healthy_yellow,556,0.300942,0.301961,0.585715,0.583334,438.216522,556.txt,ok,0.137505,0.483766,0.346262
in cutie\frunza sanatoasa dar galbena,healthy_yellow,680,0.397517,0.431373,0.658723,0.714286,370.9975,680.txt,ok,0.202155,0.146562,0.055593
in cutie\frunza sanatoasa dar galbena,healthy_yellow,725,0.504424,0.588235,0.909188,1.020407,541.1236,725.txt,ok,0.423948,1.0,0.576052
in cutie\frunza sanatoasa dar galbena,healthy_yellow,850,0.754842,0.764706,1.559707,1.523437,436.144615,850.txt,ok,1.0,0.473373,0.526627
in cutie\frunza sanatoasa dar galbena,healthy_yellow,940,0.364593,0.415686,0.710096,0.841269,341.781538,940.txt,ok,0.247647,0.0,0.247647
