sample_id,sample_role,condition,spectrum_file,relative_path,filter_label,filter_nm,bin_start_nm,bin_end_nm,bin_center_nm,mean_intensity_10nm,median_intensity_10nm,std_intensity_10nm,points_in_bin
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,180.0,190.0,188.705167,-112.688333,-99.245,32.846916,6.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,190.0,200.0,194.959762,51.328095,10.4,123.15148,21.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,200.0,210.0,204.905818,312.980909,316.65,44.84183,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,210.0,220.0,215.0625,301.753182,296.48,35.120999,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,220.0,230.0,224.968333,295.462381,287.66,35.27893,21.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,230.0,240.0,234.853682,307.825,302.78,27.242037,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,240.0,250.0,244.948455,314.241818,305.3,74.887149,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,250.0,260.0,255.021727,299.805,301.52,27.345808,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,260.0,270.0,265.073818,303.242727,296.48,27.649272,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,270.0,280.0,275.104455,291.671364,290.18,38.87623,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,280.0,290.0,285.113545,301.981818,299.0,37.512878,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,290.0,300.0,295.101045,304.845,295.22,30.462051,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,300.0,310.0,305.066727,308.627727,310.345,46.437068,22.0
