environment,sample_id,condition,filter_label,relative_path,full_area,full_peak,spectral_centroid_nm,noise_index_residual_over_mean,roughness_index_mean_abs_diff
afara,afara/fr1/nesan,unhealthy,532,afara\fr1\nesan\532.txt,12983935.571579,20013.229897,650.2263,0.079947,0.006745
afara,afara/fr1/nesan,unhealthy,556,afara\fr1\nesan\556.txt,11617962.336902,17997.821792,652.704069,0.049262,0.005946
afara,afara/fr1/nesan,unhealthy,680,afara\fr1\nesan\680.txt,13485079.884473,37844.722428,654.969693,0.081596,0.006894
afara,afara/fr1/nesan,unhealthy,725,afara\fr1\nesan\725.txt,13205208.115165,30786.118372,655.686494,0.108089,0.006293
afara,afara/fr1/nesan,unhealthy,850,afara\fr1\nesan\850.txt,12591859.118153,21481.622158,655.515204,0.064059,0.004994
afara,afara/fr1/nesan,unhealthy,940,afara\fr1\nesan\940.txt,12763006.610111,22074.878239,653.768319,0.162273,0.007083
afara,afara/fr1/nesan,unhealthy,none,afara\fr1\nesan\fara.txt,6557632.451745,36913.251886,603.689435,0.029405,0.004494
afara,afara/fr1/san,healthy,532,afara\fr1\san\532.txt,13142842.545196,23728.465262,647.53336,0.075955,0.008929
afara,afara/fr1/san,healthy,556,afara\fr1\san\556.txt,6503644.119903,48487.989773,627.097309,0.030323,0.007086
afara,afara/fr1/san,healthy,680,afara\fr1\san\680.txt,12949330.115092,26064.565514,654.785706,0.063905,0.006106
afara,afara/fr1/san,healthy,725,afara\fr1\san\725.txt,14522985.245244,74328.834585,662.359022,0.14884,0.007404
afara,afara/fr1/san,healthy,850,afara\fr1\san\850.txt,13348947.267492,32247.262126,661.129739,0.068684,0.005868
afara,afara/fr1/san,healthy,940,afara\fr1\san\940.txt,12948814.614083,22164.268106,654.357694,0.105207,0.005181
afara,afara/fr1/san,healthy,none,afara\fr1\san\fara.txt,13143063.177237,48977.682453,683.441189,0.050035,0.008438
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,532,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,89871.728169,183.118611,609.151343,0.124662,0.058159
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,556,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,94926.675732,220.204939,603.157027,0.129726,0.057999
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,680,in cutie\frunza sanatoasa dar galbena\spectru\680.txt,85641.84025,182.879562,613.427411,0.123111,0.062127
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,725,in cutie\frunza sanatoasa dar galbena\spectru\725.txt,92804.257763,282.715448,618.876938,0.127411,0.055204
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,850,in cutie\frunza sanatoasa dar galbena\spectru\850.txt,78535.407432,239.878318,622.859894,0.121901,0.063524
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,940,in cutie\frunza sanatoasa dar galbena\spectru\940.txt,95119.978308,228.281352,619.658494,0.129152,0.052835
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,none,in cutie\frunza sanatoasa dar galbena\spectru\fara.txt,85128.201487,266.842972,697.986011,0.100587,0.047768
in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,532,in cutie\Set frunze 1\frunza nesanatoasa\spectru\532.txt,89659.998541,190.917051,606.542789,0.128166,0.057072
