condition,filter_label,outside_sample,inside_sample,outside_file,inside_file,shape_similarity_pearson_r,normalized_shape_rmse,outside_full_area,inside_full_area,outside_to_inside_area_ratio,outside_peak,inside_peak,outside_to_inside_peak_ratio,outside_centroid_nm,inside_centroid_nm,centroid_shift_outside_minus_inside_nm
unhealthy,532,afara/fr1/nesan,in cutie/Set frunze 1/frunza nesanatoasa,afara\fr1\nesan\532.txt,in cutie\Set frunze 1\frunza nesanatoasa\spectru\532.txt,0.532888,0.966552,12983935.571579,89659.998541,144.813025,20013.229897,190.917051,104.826834,650.2263,606.542789,43.683511
unhealthy,532,afara/fr1/nesan,in cutie/Set frunze 2/nesanatoasa,afara\fr1\nesan\532.txt,in cutie\Set frunze 2\nesanatoasa\spectru\532.txt,0.468758,1.030768,12983935.571579,105489.624308,123.082584,20013.229897,212.929511,93.98993,650.2263,606.936446,43.289854
unhealthy,556,afara/fr1/nesan,in cutie/Set frunze 1/frunza nesanatoasa,afara\fr1\nesan\556.txt,in cutie\Set frunze 1\frunza nesanatoasa\spectru\556.txt,0.448202,1.050522,11617962.336902,92654.599612,125.390023,17997.821792,189.27325,95.089094,652.704069,607.896499,44.80757
unhealthy,556,afara/fr1/nesan,in cutie/Set frunze 2/nesanatoasa,afara\fr1\nesan\556.txt,in cutie\Set frunze 2\nesanatoasa\spectru\556.txt,0.354514,1.13621,11617962.336902,97161.357821,119.573898,17997.821792,214.170797,84.034901,652.704069,610.597089,42.10698
unhealthy,680,afara/fr1/nesan,in cutie/Set frunze 1/frunza nesanatoasa,afara\fr1\nesan\680.txt,in cutie\Set frunze 1\frunza nesanatoasa\spectru\680.txt,0.394329,1.10061,13485079.884473,82852.935223,162.759229,37844.722428,191.733129,197.382281,654.969693,611.16319,43.806503
unhealthy,680,afara/fr1/nesan,in cutie/Set frunze 2/nesanatoasa,afara\fr1\nesan\680.txt,in cutie\Set frunze 2\nesanatoasa\spectru\680.txt,0.676844,0.803935,13485079.884473,101321.070037,133.092553,37844.722428,278.267278,136.001339,654.969693,620.073537,34.896156
unhealthy,725,afara/fr1/nesan,in cutie/Set frunze 1/frunza nesanatoasa,afara\fr1\nesan\725.txt,in cutie\Set frunze 1\frunza nesanatoasa\spectru\725.txt,0.641247,0.847057,13205208.115165,99760.325506,132.369337,30786.118372,302.493941,101.774331,655.686494,622.20568,33.480814
unhealthy,725,afara/fr1/nesan,in cutie/Set frunze 2/nesanatoasa,afara\fr1\nesan\725.txt,in cutie\Set frunze 2\nesanatoasa\spectru\725.txt,0.658604,0.826313,13205208.115165,92803.268359,142.29249,30786.118372,279.879824,109.997634,655.686494,621.484503,34.201991
unhealthy,850,afara/fr1/nesan,in cutie/Set frunze 1/frunza nesanatoasa,afara\fr1\nesan\850.txt,in cutie\Set frunze 1\frunza nesanatoasa\spectru\850.txt,0.621478,0.870083,12591859.118153,94708.717995,132.953538,21481.622158,276.685821,77.639042,655.515204,634.603367,20.911836
unhealthy,940/950,afara/fr1/nesan,in cutie/Set frunze 1/frunza nesanatoasa,afara\fr1\nesan\940.txt,in cutie\Set frunze 1\frunza nesanatoasa\spectru\950.txt,0.572029,0.925172,12763006.610111,92650.650037,137.754097,22074.878239,215.193248,102.581649,653.768319,618.398423,35.369896
unhealthy,940,afara/fr1/nesan,in cutie/Set frunze 2/nesanatoasa,afara\fr1\nesan\940.txt,in cutie\Set frunze 2\nesanatoasa\spectru\940.txt,0.575486,0.921427,12763006.610111,83571.525265,152.719561,22074.878239,196.394424,112.400739,653.768319,615.999139,37.76918
unhealthy,none,afara/fr1/nesan,in cutie/Set frunze 1/frunza nesanatoasa,afara\fr1\nesan\fara.txt,in cutie\Set frunze 1\frunza nesanatoasa\spectru\fara filtru.txt,-0.301753,1.613538,6557632.451745,102501.998511,63.975655,36913.251886,317.4186,116.292026,603.689435,692.361371,-88.671936
unhealthy,none,afara/fr1/nesan,in cutie/Set frunze 2/nesanatoasa,afara\fr1\nesan\fara.txt,in cutie\Set frunze 2\nesanatoasa\spectru\fara filtru.txt,0.324218,1.162568,6557632.451745,88571.751339,74.037516,36913.251886,281.161225,131.288559,603.689435,708.801218,-105.111783
