environment,sample_id,condition,filter_label,filter_nm,camera_file,spectrum_file,camera_brightness,camera_saturation,camera_gcc,camera_exg,camera_vari,raw_intensity_at_filter,reflectance_at_filter,raw_ratio_850_680,refl_ratio_850_680
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,532,532.0,532.jpg,532.txt,0.241898,0.200935,0.316365,-0.037161,89.932465,425.380981,0.200306,0.981837,24.921252
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,556,556.0,556.jpg,556.txt,0.24957,0.699033,0.153222,-0.257411,-44.404377,459.816847,0.116222,1.135897,-0.121446
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,680,680.0,680.jpg,680.txt,0.517619,0.631897,0.243099,-0.246482,-0.521617,350.171341,-0.194502,0.744067,-28.105027
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,725,725.0,725.jpg,725.txt,0.706377,0.385443,0.301498,-0.150227,-0.278965,542.10495,0.412402,0.889304,0.95832
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,850,850.0,850.jpg,850.txt,0.753045,0.030166,0.331307,-0.013331,0.00184,446.138679,0.739717,1.66663,0.407163
in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,940,940.0,940.jpg,940.txt,0.470499,0.047334,0.331876,-0.006335,-0.002232,373.82311,-1.512751,0.849752,-1.655574
in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,532,532.0,532.jpg,532.txt,0.35055,0.133353,0.340042,0.014707,-0.021654,373.696636,-0.025347,0.96189,-0.549146
in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,556,556.0,556.jpg,556.txt,0.207941,0.271624,0.382598,0.08092,0.228093,388.567176,-0.172203,0.844634,1.225037
in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,680,680.0,680.jpg,680.txt,0.114129,0.88952,0.135262,-0.074199,-0.74271,346.619756,-0.201805,0.912422,-8.164381
in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,725,725.0,725.jpg,725.txt,0.639168,0.537476,0.313509,-0.076153,-0.274775,584.327401,0.517193,1.03607,0.167431
in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,850,850.0,850.jpg,850.txt,0.784006,0.110395,0.323551,-0.063354,0.016024,463.387927,0.788622,1.344566,1.821651
in cutie,in cutie/Set frunze 1/frunza verde,healthy,532,532.0,532.jpg,532.txt,0.061033,0.856723,0.740922,0.092766,0.734101,368.383621,-0.048767,1.290018,0.347661
in cutie,in cutie/Set frunze 1/frunza verde,healthy,556,556.0,556.jpg,556.txt,0.062767,0.839161,0.536597,0.051338,0.188187,449.214965,0.07255,1.076326,2.257504
in cutie,in cutie/Set frunze 1/frunza verde,healthy,680,680.0,680.jpg,680.txt,0.10353,0.772834,0.216956,-0.048018,-0.563788,351.338659,-0.181879,0.757226,-26.020057
in cutie,in cutie/Set frunze 1/frunza verde,healthy,725,725.0,725.jpg,725.txt,0.60763,0.493056,0.303523,-0.113173,-0.29807,533.024579,0.416347,0.921283,0.831
in cutie,in cutie/Set frunze 1/frunza verde,healthy,850,850.0,850.jpg,850.txt,0.721266,0.047329,0.329496,-0.023912,0.004196,462.57886,0.834519,1.494958,3.840259
in cutie,in cutie/Set frunze 1/frunza verde,healthy,940,940.0,940.jpg,940.txt,0.450086,0.066836,0.32987,-0.013361,0.011498,304.886971,4.069505,0.974895,-0.728918
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,532,532.0,532.jpg,532.txt,0.269791,0.657364,0.567908,0.327789,0.58897,410.570981,0.135463,1.119563,0.966775
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,556,556.0,556.jpg,556.txt,0.287774,0.786206,0.670319,0.425024,0.744235,519.390659,0.352885,1.044613,0.162251
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,680,680.0,680.jpg,680.txt,0.590049,0.698483,0.236517,-0.283809,-0.539124,505.007561,0.262784,0.630324,8.96886
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,725,725.0,725.jpg,725.txt,0.565921,0.455956,0.292435,-0.145694,-0.329897,560.363317,0.430824,0.991156,0.68043
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,940,940.0,940.jpg,940.txt,0.385346,0.072966,0.328275,-0.016543,-0.000787,340.842574,-4.584787,1.038867,-0.465763
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,532,532.0,532.jpg,532.txt,0.244299,0.268028,0.394795,0.112789,0.20053,354.56764,-0.10984,1.000621,0.717098
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,556,556.0,556.jpg,556.txt,0.228006,0.227363,0.382352,0.086347,0.171721,410.328776,-0.082182,1.15085,0.242411
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,680,680.0,680.jpg,680.txt,0.079275,0.852813,0.175285,-0.041703,-0.655207,267.173049,-0.441939,1.144746,-3.76878
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,725,725.0,725.jpg,725.txt,0.372564,0.166324,0.301645,-0.097706,-0.139883,550.238515,0.448539,1.032899,0.311078
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,850,850.0,850.jpg,850.txt,0.801896,0.102026,0.324597,-0.057405,0.015996,425.658679,0.566294,1.339084,2.091282
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,940,940.0,940.jpg,940.txt,0.475684,0.092943,0.327476,-0.022978,0.021342,339.077882,-2.515384,0.943953,-0.6512
