relative_path,file,environment,sample_id,condition,role,filter_label,filter_nm,points,wavelength_min,wavelength_max,raw_min,raw_max,raw_mean,raw_peak_wavelength_nm,raw_peak_intensity,reflectance_status,raw_i_532,refl_532,raw_i_556,refl_556,raw_i_680,refl_680,raw_i_725,refl_725,raw_i_850,refl_850,raw_i_940,refl_940,raw_ratio_850_680,raw_ratio_725_680,refl_ratio_850_680,refl_ratio_725_680
afara\fr1\nesan\532.txt,532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,532.0,2048,187.546,1034.421,-176.44,11602.22,822.923994,534.705,11602.22,ok,10647.396799,-0.56399,7089.254871,-0.836322,336.991707,-1.410131,277.836881,-1.356752,307.921295,-0.996879,304.347131,-1.01889,0.913736,0.824462,0.706941,0.962146
afara\fr1\nesan\556.txt,556.txt,afara,afara/fr1/nesan,unhealthy,sample,556,556.0,2048,187.546,1034.421,-168.41,9523.21,1282.497251,549.22,9523.21,ok,7729.964907,-0.734429,8818.661059,-0.705532,1516.663537,-1.146057,995.385421,-1.030913,477.663005,-0.785049,275.783029,-1.625773,0.314943,0.656299,0.685,0.89953
afara\fr1\nesan\680.txt,680.txt,afara,afara/fr1/nesan,unhealthy,sample,680,680.0,2048,187.546,1034.421,-182.58,25547.46,1661.575859,666.939,25547.46,ok,1596.743014,-1.092716,1328.786847,-1.271967,22070.080732,3.455074,565.361832,-1.226125,419.293394,-0.854721,353.393646,-0.280675,0.018998,0.025617,-0.247381,-0.354877
afara\fr1\nesan\725.txt,725.txt,afara,afara/fr1/nesan,unhealthy,sample,725,725.0,2048,187.546,1034.421,-145.56,15708.87,1059.811499,715.145,15708.87,ok,616.656822,-1.149963,835.827224,-1.309245,1320.029146,-1.190104,11305.971188,3.652002,336.406606,-0.961174,340.835684,-0.578991,0.254848,8.564941,0.807639,-3.068641
afara\fr1\nesan\850.txt,850.txt,afara,afara/fr1/nesan,unhealthy,sample,850,850.0,2048,187.546,1034.421,-182.9,3171.99,711.974434,839.745,3171.99,ok,1118.729112,-1.120644,1255.408682,-1.277521,842.609146,-1.297059,637.81198,-1.193371,2648.604922,1.918392,307.865603,-1.115347,3.143337,0.756949,-1.479032,0.920059
afara\fr1\nesan\940.txt,940.txt,afara,afara/fr1/nesan,unhealthy,sample,940,940.0,2048,187.546,1034.421,-147.61,7935.88,797.404482,448.167,7935.88,ok,1155.938551,-1.118478,483.525412,-1.335891,477.987561,-1.378704,468.052475,-1.270465,382.49342,-0.900283,815.39311,6.587975,0.800216,0.979215,0.652992,0.921492
afara\fr1\nesan\fara.txt,fara.txt,afara,afara/fr1/nesan,unhealthy,sample,none,,2048,187.546,1034.421,-211.73,58197.6,12998.871172,535.133,58197.6,ok,56396.948668,2.108496,54035.350541,2.714076,19152.722927,2.801575,10239.845767,3.167728,3322.719585,2.739934,431.393861,0.731125,0.173485,0.534642,0.977998,1.130695
afara\fr1\san\532.txt,532.txt,afara,afara/fr1/san,healthy,sample,532,532.0,2048,187.546,1034.421,-135.8,23439.16,1284.775483,544.53,23439.16,ok,20255.138598,-0.002742,13150.157929,-0.377977,409.020854,-1.393985,452.142475,-1.277691,355.72,-0.935441,330.551582,-0.795848,0.869687,1.105426,0.671055,0.916574
afara\fr1\san\556.txt,556.txt,afara,afara/fr1/san,healthy,sample,556,556.0,2048,187.546,1034.421,-124.45,64581.28,9047.993589,529.996,64581.28,ok,64478.450935,2.580462,32178.414494,1.061083,13496.311829,1.535462,7191.834901,1.783308,2487.556762,1.708671,457.874316,1.224507,0.184314,0.532874,1.112806,1.161415
afara\fr1\san\680.txt,680.txt,afara,afara/fr1/san,healthy,sample,680,680.0,2048,187.546,1034.421,-137.53,14396.12,1406.456143,662.407,14396.12,ok,2074.744743,-1.064811,1718.776965,-1.242476,12006.333049,1.201612,806.115099,-1.117059,555.518497,-0.690536,350.933029,-0.387126,0.046269,0.067141,-0.574675,-0.929634
