relative_path,environment,sample_id,condition,role,filter_label,wavelength_nm,raw_intensity,reflectance
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,187.546,-131.07,0.31625
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,191.255,-115.95,-0.516945
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,194.961,20.16,0.291195
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,198.664,194.08,0.321099
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,202.364,241.98,-1.555457
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,206.062,297.43,-2.821947
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,209.757,357.92,0.276623
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,213.449,289.87,0.810942
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,217.138,302.47,0.766822
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,220.825,330.2,0.598968
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,224.509,284.83,-28.989362
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,228.19,267.18,-0.110274
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,231.868,292.39,0.142553
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,235.544,239.45,-2.604453
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,239.216,279.78,-0.675391
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,242.886,272.22,-1.601154
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,246.553,360.44,1.135568
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,250.218,304.99,0.142719
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,253.879,284.83,3.647242
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,257.538,292.39,0.064767
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,261.193,254.58,0.00576
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,264.846,287.35,-0.340568
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,268.497,332.72,-0.404361
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,272.144,337.76,1.268449
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,275.788,330.2,0.307536
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,279.43,312.55,0.589263
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,283.069,332.72,0.485083
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,286.705,267.18,1.804862
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,290.338,287.35,0.10245
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,293.968,289.87,1.962457
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,297.595,257.1,3.305029
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,301.22,340.28,1.744006
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,304.841,332.72,23.77707
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,308.46,330.2,-5.293001
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,312.076,254.58,4.68764
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,315.689,322.63,-7.50015
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,319.299,294.91,25.014474
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,322.906,269.7,22.650405
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,326.51,259.62,44.205382
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,330.112,330.2,44.636957
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,333.71,307.51,9.971736
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,337.305,370.52,6.843181
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,340.898,365.48,6.430851
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,344.488,299.95,6.150997
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,348.074,284.83,6.636449
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,351.658,287.35,5.002905
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,355.239,247.02,4.600481
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,358.817,315.07,5.108355
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,362.392,304.99,4.013297
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,365.964,322.63,4.02503
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,369.532,284.83,3.991277
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,373.099,322.63,4.216371
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,376.662,320.11,4.789421
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,380.222,317.59,4.743447
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,383.779,289.87,6.808254
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,387.333,322.63,16.517074
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,390.884,312.55,77.338752
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,394.432,310.03,-17.025358
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,397.977,325.15,-12.630794
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,401.519,315.07,-4.605961
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,405.058,342.8,-2.564259
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,408.595,297.43,-1.681817
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,412.128,357.92,-0.946922
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,415.658,360.44,-0.784467
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,419.185,284.83,-0.638157
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,422.709,423.46,-0.570287
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,426.23,380.61,-0.53255
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,429.748,352.88,-0.520721
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,433.263,342.8,-0.540631
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,436.774,350.36,-0.523392
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,440.283,340.28,-0.518267
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,443.789,345.32,-0.542304
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,447.292,378.09,-0.57611
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,450.791,373.05,-0.586892
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,454.288,362.96,-0.624717
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,457.781,330.2,-0.616189
