relative_path,file,environment,role,filter_nm_from_name,points,wavelength_min,wavelength_max,intensity_min,intensity_max,intensity_mean,peak_wavelength_nm,peak_intensity,i_532,i_556,i_680,i_725,i_850,i_940
afara\fr1\nesan\532.txt,532.txt,afara,unhealthy_leaf,532,2048,187.546,1034.421,-176.44,11602.22,822.924,534.705,11602.22,10647.397,7089.255,336.992,277.837,307.921,304.347
afara\fr1\nesan\556.txt,556.txt,afara,unhealthy_leaf,556,2048,187.546,1034.421,-168.41,9523.21,1282.497,549.22,9523.21,7729.965,8818.661,1516.664,995.385,477.663,275.783
afara\fr1\nesan\680.txt,680.txt,afara,unhealthy_leaf,680,2048,187.546,1034.421,-182.58,25547.46,1661.576,666.939,25547.46,1596.743,1328.787,22070.081,565.362,419.293,353.394
afara\fr1\nesan\725.txt,725.txt,afara,unhealthy_leaf,725,2048,187.546,1034.421,-145.56,15708.87,1059.811,715.145,15708.87,616.657,835.827,1320.029,11305.971,336.407,340.836
afara\fr1\nesan\850.txt,850.txt,afara,unhealthy_leaf,850,2048,187.546,1034.421,-182.9,3171.99,711.974,839.745,3171.99,1118.729,1255.409,842.609,637.812,2648.605,307.866
afara\fr1\nesan\940.txt,940.txt,afara,unhealthy_leaf,940,2048,187.546,1034.421,-147.61,7935.88,797.404,448.167,7935.88,1155.939,483.525,477.988,468.052,382.493,815.393
afara\fr1\nesan\fara.txt,fara.txt,afara,unhealthy_leaf,none,2048,187.546,1034.421,-211.73,58197.6,12998.871,535.133,58197.6,56396.949,54035.351,19152.723,10239.846,3322.72,431.394
afara\fr1\san\532.txt,532.txt,afara,healthy_leaf,532,2048,187.546,1034.421,-135.8,23439.16,1284.775,544.53,23439.16,20255.139,13150.158,409.021,452.142,355.72,330.552
afara\fr1\san\556.txt,556.txt,afara,healthy_leaf,556,2048,187.546,1034.421,-124.45,64581.28,9047.994,529.996,64581.28,64478.451,32178.414,13496.312,7191.835,2487.557,457.874
afara\fr1\san\680.txt,680.txt,afara,healthy_leaf,680,2048,187.546,1034.421,-137.53,14396.12,1406.456,662.407,14396.12,2074.745,1718.777,12006.333,806.115,555.518,350.933
afara\fr1\san\725.txt,725.txt,afara,healthy_leaf,725,2048,187.546,1034.421,-176.76,57153.77,2659.506,731.721,57153.77,493.722,822.655,875.308,54333.217,425.791,306.256
afara\fr1\san\850.txt,850.txt,afara,healthy_leaf,850,2048,187.546,1034.421,-123.35,13414.67,1070.018,836.25,13414.67,511.23,652.514,392.999,565.715,10900.349,340.625
afara\fr1\san\940.txt,940.txt,afara,healthy_leaf,940,2048,187.546,1034.421,-141.31,2583.43,490.006,926.745,2583.43,600.04,382.84,345.219,446.982,355.917,760.797
afara\fr1\san\fara.txt,fara.txt,afara,healthy_leaf,none,2048,187.546,1034.421,-171.87,40585.86,8466.945,747.805,40585.86,23293.461,26360.661,6268.696,25668.261,9580.951,778.533
afara\refalb.txt,refalb.txt,afara,white_reference,,2048,187.546,1034.421,-123.04,45075.95,9742.28,496.869,45075.95,37423.114,31370.359,11104.63,5467.251,1921.082,443.041
afara\refnegru.txt,refnegru.txt,afara,dark_reference,,2048,187.546,1034.421,-159.27,21487.45,5359.806,505.933,21487.45,20303.5,18147.594,6636.327,3265.248,1107.777,374.115
afara\soare.txt,soare.txt,afara,source_light,,2048,187.546,1034.421,-163.84,54479.75,13748.306,535.133,54479.75,52876.624,50689.849,19176.643,10539.126,3926.838,580.826
in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532.txt,in cutie,healthy_leaf,532,2048,187.546,1034.421,-161.0,1225.32,322.053,893.141,1225.32,425.381,367.401,333.772,326.514,327.709,368.246
in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556.txt,in cutie,healthy_leaf,556,2048,187.546,1034.421,-161.79,1242.17,306.556,893.141,1242.17,391.833,459.817,276.698,294.028,314.3,302.407
in cutie\frunza sanatoasa dar galbena\spectru\680.txt,680.txt,in cutie,healthy_leaf,680,2048,187.546,1034.421,-127.45,1140.4,314.955,893.141,1140.4,330.888,279.895,350.171,299.192,260.551,334.347
in cutie\frunza sanatoasa dar galbena\spectru\725.txt,725.txt,in cutie,healthy_leaf,725,2048,187.546,1034.421,-175.02,1158.36,314.78,893.141,1158.36,366.998,297.294,304.868,542.105,271.12,314.233
in cutie\frunza sanatoasa dar galbena\spectru\850.txt,850.txt,in cutie,healthy_leaf,850,2048,187.546,1034.421,-164.63,1216.65,330.847,893.141,1216.65,330.723,357.736,267.689,296.235,446.139,307.104
in cutie\frunza sanatoasa dar galbena\spectru\940.txt,940.txt,in cutie,healthy_leaf,940,2048,187.546,1034.421,-143.04,1162.62,302.612,893.141,1162.62,307.94,254.95,322.039,296.245,273.653,373.823
in cutie\frunza sanatoasa dar galbena\spectru\fara.txt,fara.txt,in cutie,healthy_leaf,none,2048,187.546,1034.421,-175.81,1263.44,397.11,893.141,1263.44,391.826,478.513,442.834,581.599,484.735,361.112
in cutie\Referinta alba\spectru\referinta alba fara filtru.txt,referinta alba fara filtru.txt,in cutie,white_reference,none,2048,187.546,1034.421,-155.02,1261.55,574.133,893.141,1261.55,757.233,792.276,1052.803,946.121,573.077,384.838
in cutie\Referinta alba\spectru\refirinta alba  556.txt,refirinta alba  556.txt,in cutie,white_reference,556,2048,187.546,1034.421,-184.16,1171.91,336.002,893.141,1171.91,617.072,683.526,300.683,364.852,364.15,323.835
in cutie\Referinta alba\spectru\refirinta alba  680.txt,refirinta alba  680.txt,in cutie,white_reference,680,2048,187.546,1034.421,-148.24,1122.13,333.104,893.141,1122.13,330.461,322.872,761.192,301.586,305.876,307.573
in cutie\Referinta alba\spectru\refirinta alba 532.txt,refirinta alba 532.txt,in cutie,white_reference,532,2048,187.546,1034.421,-204.95,1125.91,312.643,893.141,1125.91,607.977,564.847,290.065,309.431,299.199,292.085
in cutie\Referinta alba\spectru\refirinta alba 725.txt,refirinta alba 725.txt,in cutie,white_reference,725,2048,187.546,1034.421,-128.86,1043.2,324.681,893.141,1043.2,342.68,347.336,332.216,771.248,284.229,316.457
in cutie\Referinta alba\spectru\refirinta alba 850.txt,refirinta alba 850.txt,in cutie,white_reference,850,2048,187.546,1034.421,-168.09,1127.49,316.727,893.141,1127.49,335.723,399.43,329.97,353.551,484.087,359.88
in cutie\Referinta alba\spectru\refirinta alba 940.txt,refirinta alba 940.txt,in cutie,white_reference,940,2048,187.546,1034.421,-133.12,1074.24,306.176,893.141,1074.24,358.697,297.662,296.24,311.142,301.915,337.703
in cutie\Refirinta neagra\referinta gri.txt,referinta gri.txt,in cutie,dark_reference,,2048,187.546,1034.421,-169.51,1098.34,347.393,893.141,1098.34,379.571,430.887,411.762,379.403,357.145,306.658
in cutie\Refirinta neagra\referinta neagra fara .txt,referinta neagra fara .txt,in cutie,dark_reference,none,2048,187.546,1034.421,-151.86,1143.71,327.826,893.141,1143.71,397.322,413.193,340.879,333.73,340.187,291.159
in cutie\Set frunze 1\frunza nesanatoasa\spectru\532.txt,532.txt,in cutie,healthy_leaf,532,2048,187.546,1034.421,-153.91,1144.18,307.845,893.141,1144.18,373.697,384.387,323.525,335.199,311.195,288.92
in cutie\Set frunze 1\frunza nesanatoasa\spectru\556.txt,556.txt,in cutie,healthy_leaf,556,2048,187.546,1034.421,-166.2,1144.5,316.67,893.141,1144.5,403.35,388.567,326.263,317.75,275.572,323.095
in cutie\Set frunze 1\frunza nesanatoasa\spectru\680.txt,680.txt,in cutie,healthy_leaf,680,2048,187.546,1034.421,-182.27,1171.28,302.962,893.141,1171.28,307.427,358.318,346.62,338.61,316.263,334.903
in cutie\Set frunze 1\frunza nesanatoasa\spectru\725.txt,725.txt,in cutie,healthy_leaf,725,2048,187.546,1034.421,-205.43,1211.14,326.419,893.141,1211.14,321.57,264.189,331.704,584.327,343.668,274.16
in cutie\Set frunze 1\frunza nesanatoasa\spectru\850.txt,850.txt,in cutie,healthy_leaf,850,2048,187.546,1034.421,-161.47,1204.68,325.478,893.141,1204.68,336.991,280.052,344.638,311.988,463.388,346.741
in cutie\Set frunze 1\frunza nesanatoasa\spectru\950.txt,950.txt,in cutie,healthy_leaf,950,2048,187.546,1034.421,-132.8,1195.54,312.668,893.141,1195.54,314.356,291.148,305.534,283.327,323.183,299.085
in cutie\Set frunze 1\frunza nesanatoasa\spectru\fara filtru.txt,fara filtru.txt,in cutie,healthy_leaf,none,2048,187.546,1034.421,-163.21,1238.23,390.954,893.141,1238.23,373.073,443.828,326.218,631.722,478.606,353.057
in cutie\Set frunze 1\frunza verde\spectru\532.txt,532.txt,in cutie,healthy_leaf,532,2048,187.546,1034.421,-139.26,1133.63,309.784,893.141,1133.63,368.384,394.97,283.028,344.166,365.111,303.342
in cutie\Set frunze 1\frunza verde\spectru\556.txt,556.txt,in cutie,healthy_leaf,556,2048,187.546,1034.421,-143.99,1098.66,324.266,893.141,1098.66,392.997,449.215,330.066,346.173,355.259,337.519
in cutie\Set frunze 1\frunza verde\spectru\680.txt,680.txt,in cutie,healthy_leaf,680,2048,187.546,1034.421,-164.15,1154.11,297.05,893.141,1154.11,285.823,309.244,351.339,306.008,266.043,330.481
in cutie\Set frunze 1\frunza verde\spectru\725.txt,725.txt,in cutie,healthy_leaf,725,2048,187.546,1034.421,-153.28,1205.31,322.654,893.141,1205.31,318.167,288.058,302.358,533.025,278.557,337.06
