relative_path,file,environment,sample_id,condition,filter_label,filter_nm,width,height,leaf_pixels,leaf_area_fraction,mean_r,mean_g,mean_b,brightness,saturation,hue_deg,gcc,exg,vari
in cutie\frunza sanatoasa dar galbena\camera\532.jpg,532.jpg,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,532,532.0,1920,1080,354214,0.170821,0.209002,0.204871,0.237901,0.241898,0.200935,255.2616,0.316365,-0.037161,89.932465
in cutie\frunza sanatoasa dar galbena\camera\556.jpg,556.jpg,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,556,556.0,1920,1080,255241,0.123091,0.249237,0.075164,0.158502,0.24957,0.699033,330.433542,0.153222,-0.257411,-44.404377
in cutie\frunza sanatoasa dar galbena\camera\680.jpg,680.jpg,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,680,680.0,1920,1080,96023,0.046307,0.517619,0.233526,0.195916,0.517619,0.631897,6.731566,0.243099,-0.246482,-0.521617
in cutie\frunza sanatoasa dar galbena\camera\725.jpg,725.jpg,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,725,725.0,1920,1080,106682,0.051448,0.706377,0.498484,0.440818,0.706377,0.385443,12.737093,0.301498,-0.150227,-0.278965
in cutie\frunza sanatoasa dar galbena\camera\850.jpg,850.jpg,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,850,850.0,1920,1080,112025,0.054024,0.735708,0.736953,0.751531,0.753045,0.030166,242.08477,0.331307,-0.013331,0.00184
in cutie\frunza sanatoasa dar galbena\camera\940.jpg,940.jpg,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,940,940.0,1920,1080,108141,0.052151,0.45917,0.457817,0.462798,0.470499,0.047334,273.566813,0.331876,-0.006335,-0.002232
in cutie\frunza sanatoasa dar galbena\camera\fara.jpg,fara.jpg,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,none,,1920,1080,112771,0.054384,0.52361,0.533436,0.532097,0.542477,0.052853,167.617605,0.334965,0.011164,0.014535
in cutie\Referinta alba\camera\532.jpg,532.jpg,in cutie,in cutie/white_reference,white_reference,532,532.0,1920,1080,888232,0.428353,0.726563,0.627426,0.62999,0.777582,0.274217,12.706309,0.323779,-0.1017,-0.130097
in cutie\Referinta alba\camera\556.jpg,556.jpg,in cutie,in cutie/white_reference,white_reference,556,556.0,1920,1080,873550,0.421272,0.315563,0.393544,0.273422,0.413677,0.353044,83.680144,0.406375,0.198103,0.165744
in cutie\Referinta alba\camera\680.jpg,680.jpg,in cutie,in cutie/white_reference,white_reference,680,680.0,1920,1080,895365,0.431793,0.768138,0.395928,0.297696,0.768138,0.614271,12.169158,0.269991,-0.273978,-0.431631
in cutie\Referinta alba\camera\725.jpg,725.jpg,in cutie,in cutie/white_reference,white_reference,725,725.0,1920,1080,1530881,0.738272,0.652427,0.479155,0.439008,0.654237,0.342675,5.022417,0.303876,-0.133124,-0.250946
in cutie\Referinta alba\camera\850.jpg,850.jpg,in cutie,in cutie/white_reference,white_reference,850,850.0,1920,1080,1410565,0.680249,0.572631,0.566905,0.595284,0.596867,0.055394,256.716541,0.326508,-0.034104,-0.011163
in cutie\Referinta alba\camera\940.jpg,940.jpg,in cutie,in cutie/white_reference,white_reference,940,940.0,1920,1080,819088,0.395008,0.651974,0.648252,0.663944,0.667304,0.035169,260.829429,0.329969,-0.019415,-0.005831
in cutie\Referinta alba\camera\fara.jpg,fara.jpg,in cutie,in cutie/white_reference,white_reference,none,,1920,1080,235248,0.113449,0.04694,0.025862,0.032776,0.047874,0.715305,337.959216,0.125815,-0.027991,-0.911588
in cutie\Refirinta neagra\fara.jpg,fara.jpg,in cutie,in cutie/dark_reference,dark_reference,none,,1920,1080,1107745,0.534213,0.699861,0.62788,0.641233,0.699978,0.108085,348.802657,0.318489,-0.085333,-0.107238
in cutie\Set frunze 1\frunza nesanatoasa\camera\532.jpg,532.jpg,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,532,532.0,1920,1080,464038,0.223784,0.343992,0.333655,0.308611,0.35055,0.133353,43.578501,0.340042,0.014707,-0.021654
in cutie\Set frunze 1\frunza nesanatoasa\camera\556.jpg,556.jpg,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,556,556.0,1920,1080,1565463,0.754949,0.15119,0.199456,0.166801,0.207941,0.271624,150.246792,0.382598,0.08092,0.228093
in cutie\Set frunze 1\frunza nesanatoasa\camera\680.jpg,680.jpg,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,680,680.0,1920,1080,843140,0.406607,0.114113,0.027619,0.015323,0.114129,0.88952,6.154743,0.135262,-0.074199,-0.74271
in cutie\Set frunze 1\frunza nesanatoasa\camera\725.jpg,725.jpg,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,725,725.0,1920,1080,269855,0.130138,0.639168,0.431894,0.300774,0.639168,0.537476,22.986666,0.313509,-0.076153,-0.274775
in cutie\Set frunze 1\frunza nesanatoasa\camera\850.jpg,850.jpg,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,850,850.0,1920,1080,287450,0.138624,0.701276,0.710964,0.784006,0.784006,0.110395,234.06788,0.323551,-0.063354,0.016024
in cutie\Set frunze 1\frunza nesanatoasa\camera\940.jpg,940.jpg,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,940,940.0,1920,1080,274675,0.132463,0.441488,0.449454,0.4982,0.498256,0.123981,233.764604,0.323324,-0.04078,0.022144
in cutie\Set frunze 1\frunza nesanatoasa\camera\fara.jpg,fara.jpg,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,none,,1920,1080,280798,0.135416,0.540247,0.510497,0.533088,0.548527,0.086438,289.003721,0.320656,-0.052342,-0.067872
in cutie\Set frunze 1\frunza verde\camera\532.jpg,532.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,532,532.0,1920,1080,1454034,0.701212,0.014463,0.059751,0.012273,0.061033,0.856723,111.733736,0.740922,0.092766,0.734101
in cutie\Set frunze 1\frunza verde\camera\556.jpg,556.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,556,556.0,1920,1080,1490705,0.718897,0.026456,0.047768,0.017743,0.062767,0.839161,81.868822,0.536597,0.051338,0.188187
in cutie\Set frunze 1\frunza verde\camera\680.jpg,680.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,680,680.0,1920,1080,1251833,0.6037,0.103167,0.039253,0.023356,0.10353,0.772834,10.392109,0.216956,-0.048018,-0.563788
in cutie\Set frunze 1\frunza verde\camera\725.jpg,725.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,725,725.0,1920,1080,271195,0.130785,0.60763,0.403299,0.31214,0.60763,0.493056,18.220913,0.303523,-0.113173,-0.29807
in cutie\Set frunze 1\frunza verde\camera\850.jpg,850.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,850,850.0,1920,1080,277548,0.133848,0.691704,0.694378,0.720963,0.721266,0.047329,237.961862,0.329496,-0.023912,0.004196
in cutie\Set frunze 1\frunza verde\camera\940.jpg,940.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,940,940.0,1920,1080,268557,0.129512,0.426023,0.430267,0.447873,0.450086,0.066836,234.738888,0.32987,-0.013361,0.011498
in cutie\Set frunze 1\frunza verde\camera\fara.jpg,fara.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,none,,1920,1080,268072,0.129279,0.491106,0.454699,0.485293,0.496949,0.097447,298.412441,0.316365,-0.067001,-0.08798
in cutie\Set frunze 2\nesanatoasa\camera\532.jpg,532.jpg,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,532,532.0,1920,1080,96657,0.046613,0.109906,0.269791,0.101887,0.269791,0.657364,117.12128,0.567908,0.327789,0.58897
