index,value,reason,formula,nir_band_nm,red_band_nm,red_edge_band_nm,green_band_nm,water_band_nm,nir_value,red_value,red_edge_value,green_value,water_band_value,numerator,denominator,difference_value,sum_value
NDVI,0.104746,,(NIR - RED) / (NIR + RED),850,680,,,,0.216421,0.175382,,,,0.04104,0.391803,0.04104,0.391803
NDRE,-0.037569,,(NIR - RED_EDGE) / (NIR + RED_EDGE),850,,725,,,0.216421,,0.233318,,,-0.016896,0.449739,-0.016896,0.449739
SR_RED,1.234003,,NIR / RED,850,680,,,,0.216421,0.175382,,,,0.216421,0.175382,,
SR_RE,0.927583,,NIR / RED_EDGE,850,,725,,,0.216421,,0.233318,,,0.216421,0.233318,,
GNDVI,0.490601,,(NIR - GREEN) / (NIR + GREEN),850,,,556,,0.216421,,,0.07396,,0.142461,0.290381,0.142461,0.290381
GRI,2.926197,,NIR / GREEN,850,,,556,,0.216421,,,0.07396,,0.216421,0.07396,,
CI_RE,-0.072417,,(NIR / RED_EDGE) - 1,850,,725,,,0.216421,,0.233318,,,0.216421,0.233318,,
RE_RED_DIFF,0.057936,,RED_EDGE - RED,,680,725,,,,0.175382,0.233318,,,,,0.057936,
RE_SLOPE,0.001287,,(RED_EDGE - RED) / (725 - 680),,680,725,,,,0.175382,0.233318,,,,45.0,0.057936,
NDWI_850_940,0.196445,,(NIR - WATER_BAND) / (NIR + WATER_BAND),850,,,,940,0.216421,,,,0.145353,0.071069,0.361774,0.071069,0.361774
WATER_RATIO,0.671618,,WATER_BAND / NIR,850,,,,940,0.216421,,,,0.145353,0.145353,0.216421,,
GRND,-0.406758,,(GREEN - RED) / (GREEN + RED),,680,,556,,,0.175382,,0.07396,,-0.101422,0.249341,-0.101422,0.249341
RED_GREEN_RATIO,2.371305,,RED / GREEN,,680,,556,,,0.175382,,0.07396,,0.175382,0.07396,,
NIR_RED_DIFF,0.04104,,NIR - RED,850,680,,,,0.216421,0.175382,,,,,,0.04104,
NIR_RED_SUM,0.391803,,NIR + RED,850,680,,,,0.216421,0.175382,,,,,,,0.391803
NIR_RE_DIFF,-0.016896,,NIR - RED_EDGE,850,,725,,,0.216421,,0.233318,,,,,-0.016896,
NIR_RE_SUM,0.449739,,NIR + RED_EDGE,850,,725,,,0.216421,,0.233318,,,,,,0.449739
