file,relative_path,size,file_sha256,entry_count,entry_names_hash,entry_content_hash,entries
galben direct.ocv,Camera Roll\spectrometru frunza\fara filtru frunza verde-galben-maro\galben direct.ocv,8346,24cdea185fcf3651e1aeeb8ea39be41b23b7c1169a3ab7087cc6fe6693d37736,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
maro direct.ocv,Camera Roll\spectrometru frunza\fara filtru frunza verde-galben-maro\maro direct.ocv,8346,e0b2c807650a39d4f31ee92a5c334667737d878adb026342dc661e09703d5ec8,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
verde direct.ocv,Camera Roll\spectrometru frunza\fara filtru frunza verde-galben-maro\verde direct.ocv,8346,a129c88c3bc87424171a41fdc4140c76f14533749daa872c00a3b5c1667fd1a2,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
532 nm.ocv,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben\532 nm.ocv,8346,4cde3797c8533a006f61daca1d3c6763f1961c41ad98ee72746ae129c53e0ca3,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
556 nm.ocv,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben\556 nm.ocv,8346,a957e5c18b001553f084bb6e531ac098f37d810333c0d35ad3704865fb614c17,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
680 nm.ocv,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben\680 nm.ocv,8346,0e871f531fafa076b498441310de23647b5e755753b4e774e7cb07666026a5c2,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
725 nm.ocv,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben\725 nm.ocv,8346,ae88dc6ae28f224b49e272bd06fb880cac00dc8472e759dd28a8ab4a0d568b5e,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
850.ocv,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben\850.ocv,8346,acf42c0ce26bcc840e62630709a2ae184a9577ef7a25c8aadd515431a174b539,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
940.ocv,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben\940.ocv,8346,ceaa88c94cd13eaff4808561ca1833bf4a46d4be6ac463d5e9209aea2d4b632a,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
532 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\532 nm.ocv,8346,d993c01592dd3fa6d76563a90a4390dbba0bb0e6f29a412414471174fdec1d55,21,70b356e0adb5bc2c0177d014082e06227967056fdfbaef0e6076dc5c68c798a7,f2638d3cb42414d0ba2751feba7a19eade54afe9d788113b457582770dd658c8,Acquire-101.xml; Device-USB2+H13139.xml; ProjectSettings; View-502.xml; features/Spectrometer10_101.xml; features/Spectrometer11_101.xml; features/Spectrometer12_101.xml; features/Spectrometer13_101.xml; features/Spectrometer14_101.xml; features/Spectrometer15_101.xml; features/Spectrometer16_101.xml; features/Spectrometer8_101.xml; features/Spectrometer9_101.xml; features/acquisitiondelay7_101.xml; features/continuousstrobe5_101.xml; features/continuousstrobe6_101.xml; features/decouplecorrection4_101.xml; features/singlestrobe1_101.xml; features/singlestrobe2_101.xml; features/singlestrobe3_101.xml; features/strobelamp0_101.xml
