photo_group,photo_file,relative_path,masked_leaf_pixels,leaf_area_fraction,mean_r,mean_g,mean_b,mean_hue_deg,mean_saturation,mean_value_brightness,gcc,exg,vari,appearance
Poze normale frunza 1,WIN_20260515_15_03_51_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_03_51_Pro.jpg,674615,0.325335,0.136418,0.136363,0.136429,359.848336,0.000889,0.136461,0.333234,-0.00012,-0.000473,dark grayscale/IR-like
Poze normale frunza 1,WIN_20260515_15_04_05_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_05_Pro.jpg,747113,0.360298,0.126673,0.126673,0.126673,0.0,0.0,0.126673,0.333334,0.0,0.0,dark grayscale/IR-like
Poze normale frunza 1,WIN_20260515_15_04_17_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_17_Pro.jpg,539661,0.260253,0.77393,0.77393,0.77393,0.0,0.0,0.77393,0.333333,0.0,0.0,bright grayscale/white
Poze normale frunza 1,WIN_20260515_15_04_30_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_30_Pro.jpg,489959,0.236284,0.158374,0.158374,0.158374,0.0,0.0,0.158374,0.333333,0.0,0.0,dark grayscale/IR-like
Poze normale frunza 1,WIN_20260515_15_04_42_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_42_Pro.jpg,469760,0.226543,0.363601,0.363601,0.363601,0.0,0.0,0.363601,0.33333,0.0,0.0,dark grayscale/IR-like
Poze normale frunza 1,WIN_20260515_15_05_00_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_05_00_Pro.jpg,541229,0.261009,0.58295,0.58295,0.58295,0.0,0.0,0.58295,0.33332,0.0,0.0,bright grayscale/white
Poze normale frunza 1,WIN_20260515_15_05_08_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_05_08_Pro.jpg,477744,0.230394,0.30797,0.30797,0.30797,0.0,0.0,0.30797,0.332674,0.0,0.0,dark grayscale/IR-like
Poze normale frunza 2,WIN_20260515_15_16_17_Pro.jpg,Camera Roll\Poze normale frunza 2\WIN_20260515_15_16_17_Pro.jpg,854010,0.411849,0.335839,0.337101,0.308508,33.157093,0.165441,0.35491,0.350427,0.029855,0.012364,red/brown
Poze normale frunza 2,WIN_20260515_15_16_24_Pro.jpg,Camera Roll\Poze normale frunza 2\WIN_20260515_15_16_24_Pro.jpg,861595,0.415507,0.136681,0.193912,0.118394,87.983085,0.451957,0.200383,0.485551,0.13275,4.900319,green
Poze normale frunza 2,WIN_20260515_15_16_48_Pro.jpg,Camera Roll\Poze normale frunza 2\WIN_20260515_15_16_48_Pro.jpg,952261,0.459231,0.787816,0.715279,0.739214,340.229602,0.094456,0.78796,0.318598,-0.096472,-0.097319,red/brown
Poze normale frunza 2,WIN_20260515_15_17_13_Pro.jpg,Camera Roll\Poze normale frunza 2\WIN_20260515_15_17_13_Pro.jpg,734407,0.35417,0.370103,0.304053,0.264056,23.631051,0.306114,0.370387,0.321333,-0.026053,-0.166663,red/brown
Poze normale frunza 2,WIN_20260515_15_17_30_Pro.jpg,Camera Roll\Poze normale frunza 2\WIN_20260515_15_17_30_Pro.jpg,1014879,0.489429,0.479383,0.329843,0.290122,7.021183,0.393414,0.480072,0.298983,-0.109819,-0.280533,red/brown
Poze normale frunza 2,WIN_20260515_15_17_42_Pro.jpg,Camera Roll\Poze normale frunza 2\WIN_20260515_15_17_42_Pro.jpg,994706,0.4797,0.701539,0.698318,0.70896,262.746467,0.030629,0.713801,0.33114,-0.013864,-0.004824,bright grayscale/white
Poze normale frunza 2,WIN_20260515_15_17_53_Pro.jpg,Camera Roll\Poze normale frunza 2\WIN_20260515_15_17_53_Pro.jpg,1084516,0.523011,0.569476,0.575172,0.603437,233.239974,0.071206,0.605437,0.328889,-0.02257,0.011409,bright grayscale/white
