photo_group,photo_file,proposed_leaf_condition,proposed_camera_filter_or_light,matching_spectrometer_folder,matching_spectrometer_measurement,confidence,reason
Poze normale frunza 1,WIN_20260515_15_03_51_Pro.jpg,green/healthy leaf,532 nm,Camera Roll\spectrometru frunza\verde frunza,532 nm,low,"Assigned by photo order; group 1 is mostly grayscale, so filter labels need manual confirmation."
Poze normale frunza 1,WIN_20260515_15_04_05_Pro.jpg,green/healthy leaf,556 nm,Camera Roll\spectrometru frunza\verde frunza,556 nm,low,"Assigned by photo order; group 1 is mostly grayscale, so filter labels need manual confirmation."
Poze normale frunza 1,WIN_20260515_15_04_17_Pro.jpg,green/healthy leaf,full/no filter,Camera Roll\spectrometru frunza\verde frunza,full/no filter,low,"Assigned by photo order; group 1 is mostly grayscale, so filter labels need manual confirmation."
Poze normale frunza 1,WIN_20260515_15_04_30_Pro.jpg,green/healthy leaf,680 nm,Camera Roll\spectrometru frunza\verde frunza,680 nm,low,"Assigned by photo order; group 1 is mostly grayscale, so filter labels need manual confirmation."
Poze normale frunza 1,WIN_20260515_15_04_42_Pro.jpg,green/healthy leaf,725 nm,Camera Roll\spectrometru frunza\verde frunza,725 nm,low,"Assigned by photo order; group 1 is mostly grayscale, so filter labels need manual confirmation."
Poze normale frunza 1,WIN_20260515_15_05_00_Pro.jpg,green/healthy leaf,850 nm,Camera Roll\spectrometru frunza\verde frunza,850 nm,low,"Assigned by photo order; group 1 is mostly grayscale, so filter labels need manual confirmation."
Poze normale frunza 1,WIN_20260515_15_05_08_Pro.jpg,green/healthy leaf,940 nm,Camera Roll\spectrometru frunza\verde frunza,940 nm,low,"Assigned by photo order; group 1 is mostly grayscale, so filter labels need manual confirmation."
Poze normale frunza 2,WIN_20260515_15_16_17_Pro.jpg,yellow/unhealthy leaf,532 nm,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben,532 nm,medium,Assigned by photo order and visible color sequence; group 2 visually matches green/white/red/NIR order.
Poze normale frunza 2,WIN_20260515_15_16_24_Pro.jpg,yellow/unhealthy leaf,556 nm,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben,556 nm,medium,Assigned by photo order and visible color sequence; group 2 visually matches green/white/red/NIR order.
Poze normale frunza 2,WIN_20260515_15_16_48_Pro.jpg,yellow/unhealthy leaf,full/no filter,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben,full/no filter,medium,Assigned by photo order and visible color sequence; group 2 visually matches green/white/red/NIR order.
Poze normale frunza 2,WIN_20260515_15_17_13_Pro.jpg,yellow/unhealthy leaf,680 nm,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben,680 nm,medium,Assigned by photo order and visible color sequence; group 2 visually matches green/white/red/NIR order.
Poze normale frunza 2,WIN_20260515_15_17_30_Pro.jpg,yellow/unhealthy leaf,725 nm,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben,725 nm,medium,Assigned by photo order and visible color sequence; group 2 visually matches green/white/red/NIR order.
Poze normale frunza 2,WIN_20260515_15_17_42_Pro.jpg,yellow/unhealthy leaf,850 nm,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben,850 nm,medium,Assigned by photo order and visible color sequence; group 2 visually matches green/white/red/NIR order.
Poze normale frunza 2,WIN_20260515_15_17_53_Pro.jpg,yellow/unhealthy leaf,940 nm,Camera Roll\spectrometru frunza\fruza nesanatoasa-galben,940 nm,medium,Assigned by photo order and visible color sequence; group 2 visually matches green/white/red/NIR order.
