leaf_id,proposed_condition,photo_file,photo_relative_path,spectrum_file,spectrum_relative_path,confidence,reason
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_03_51_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_03_51_Pro.jpg,532 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\532 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_04_05_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_05_Pro.jpg,532 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\532 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_04_17_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_17_Pro.jpg,532 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\532 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_04_30_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_30_Pro.jpg,532 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\532 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_04_42_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_42_Pro.jpg,532 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\532 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_05_00_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_05_00_Pro.jpg,532 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\532 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_05_08_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_05_08_Pro.jpg,532 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\532 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_03_51_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_03_51_Pro.jpg,556 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\556 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_04_05_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_05_Pro.jpg,556 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\556 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_04_17_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_17_Pro.jpg,556 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\556 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_04_30_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_30_Pro.jpg,556 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\556 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_04_42_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_04_42_Pro.jpg,556 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\556 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_05_00_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_05_00_Pro.jpg,556 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\556 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_05_08_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_05_08_Pro.jpg,556 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\556 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
leaf_or_region_A,green/healthy leaf,WIN_20260515_15_03_51_Pro.jpg,Camera Roll\Poze normale frunza 1\WIN_20260515_15_03_51_Pro.jpg,680 nm.ocv,Camera Roll\spectrometru frunza\verde frunza\680 nm.ocv,medium,Photo group 1 was captured first; the first spectrometer sequence is in folder 'verde frunza'.
